Price,Close,High,Low,Open,Volume
Ticker,SI=F,SI=F,SI=F,SI=F,SI=F
Date,,,,,
2024-07-29,27.702999114990234,28.049999237060547,27.702999114990234,28.049999237060547,819
2024-07-30,28.364999771118164,28.364999771118164,27.799999237060547,27.825000762939453,320
2024-07-31,28.777999877929688,28.885000228881836,28.71500015258789,28.71500015258789,17
2024-08-01,28.33099937438965,28.94499969482422,28.33099937438965,28.94499969482422,16
2024-08-02,28.246000289916992,28.93000030517578,28.246000289916992,28.899999618530273,101
2024-08-05,27.076000213623047,28.559999465942383,26.84000015258789,28.165000915527344,38
2024-08-06,27.09600067138672,27.229999542236328,27.09600067138672,27.21500015258789,110
2024-08-07,26.829999923706055,26.915000915527344,26.69499969482422,26.915000915527344,7
2024-08-08,27.5,27.5049991607666,27.05500030517578,27.05500030517578,36
2024-08-09,27.48699951171875,27.48699951171875,27.48699951171875,27.48699951171875,2
2024-08-12,27.91699981689453,27.924999237060547,27.780000686645508,27.84000015258789,11
2024-08-13,27.69499969482422,27.69499969482422,27.69499969482422,27.69499969482422,4
2024-08-14,27.253999710083008,27.253999710083008,27.253999710083008,27.253999710083008,30
2024-08-15,28.341999053955078,28.341999053955078,28.145000457763672,28.145000457763672,41
2024-08-16,28.777999877929688,28.777999877929688,28.777999877929688,28.777999877929688,15
2024-08-19,29.239999771118164,29.239999771118164,29.239999771118164,29.239999771118164,18
2024-08-20,29.454999923706055,29.954999923706055,29.454999923706055,29.854999542236328,15
2024-08-21,29.47599983215332,29.47599983215332,29.47599983215332,29.47599983215332,1
2024-08-22,29.006000518798828,29.450000762939453,29.0,29.44499969482422,4
2024-08-23,29.785999298095703,29.785999298095703,29.785999298095703,29.785999298095703,8
2024-08-26,29.976999282836914,30.104999542236328,29.905000686645508,30.104999542236328,53
2024-08-27,29.951000213623047,29.985000610351562,29.951000213623047,29.951000213623047,78
2024-08-28,29.176000595092773,29.176000595092773,29.176000595092773,29.176000595092773,42397
2024-08-29,29.55699920654297,29.655000686645508,29.110000610351562,29.110000610351562,7849
2024-08-30,28.731000900268555,29.55500030517578,28.709999084472656,29.3799991607666,488
2024-09-03,27.951000213623047,28.565000534057617,27.69499969482422,28.354999542236328,292
2024-09-04,28.16699981689453,28.21500015258789,27.885000228881836,27.885000228881836,237
2024-09-05,28.719999313354492,28.770000457763672,28.19499969482422,28.19499969482422,299
2024-09-06,27.808000564575195,28.584999084472656,27.808000564575195,28.584999084472656,72
2024-09-09,28.291000366210938,28.34000015258789,28.049999237060547,28.084999084472656,72
2024-09-10,28.256999969482422,28.256999969482422,28.204999923706055,28.2450008392334,20
2024-09-11,28.562999725341797,28.68000030517578,28.4950008392334,28.4950008392334,18
2024-09-12,29.743000030517578,29.799999237060547,28.790000915527344,28.80500030517578,33
